     Group.1 Group.2             x
928       ah       b  2.739286e-03
929        b       b  1.939300e-02
930        n       b -4.211000e-03
931        v       b -2.636300e-02
932        z       b -1.476533e-02
933       aw       b  1.823400e-02
934       ax      ch -3.952500e-03
935        d      ch -1.181833e-02
936       er      ch -2.741000e-03
937        f      ch  7.843000e-03
938       ih      ch -2.310333e-03
939       iy      ch -1.930800e-02
940       ng      ch -1.501000e-03
941        r      ch  5.202000e-03
942        s      ch -2.176200e-02
943       sh      ch  1.165400e-02
944        t      ch -2.179667e-02
945       uh      ch  1.199500e-02
946       ah      ch  5.717687e-03
947        n      ch -9.643586e-02
948       ae       n  1.139203e-02
949       ao       n  3.349889e-03
950       ax       n  1.889814e-02
951       ay       n -5.509167e-04
952        d       n -9.195000e-03
953       eh       n -4.367500e-04
954       er       n -6.700643e-03
955       ey       n -8.037662e-02
956       h#       n  2.647429e-02
957       hh       n  8.895000e-03
958       ih       n  8.789034e-03
959       iy       n -1.751500e-03
960        k       n -1.216950e-02
961        l       n  1.489900e-02
962        m       n  4.691911e-02
963       ng       n  4.743600e-02
964       ow       n -1.646000e-03
965        r       n -8.984500e-03
966        s       n -5.646143e-03
967       sh       n  2.038100e-02
968        t       n -9.854000e-03
969       uh       n -3.502800e-03
970       uw       n  6.185463e-02
971       aa       n  7.927857e-04
972       ah       n -1.275671e-02
973       ch       n -8.327000e-03
974        n       n -8.614286e-04
975        v       n -2.568367e-02
976        y       n  9.624444e-03
977        z       n -9.426667e-03
978       oy       n  7.197000e-03
979       aw       n  6.714800e-03
980       ae       v  8.005600e-03
981       ao       v  8.000000e-03
982       ax       v -1.338611e-02
983       ay       v  9.125143e-03
984        d       v -1.916200e-02
985       eh       v  1.097131e-02
986       er       v  1.864063e-02
987       ey       v -3.338600e-03
988        f       v  1.425540e-01
989       h#       v  8.699000e-03
990       ih       v  4.895294e-04
991       iy       v -4.376000e-04
992        l       v  6.375000e-04
993        m       v -3.405500e-02
994       ow       v -9.003571e-03
995        r       v -1.688300e-02
996        s       v  5.353600e-02
997        t       v  1.350600e-02
998       uh       v -3.147000e-03
999       uw       v -3.939000e-03
1000      aa       v  9.830000e-04
1001      ah       v  3.809909e-03
1002       z       v  1.535830e-01
1003      ax       y  4.754300e-02
1004      ay       y  6.758000e-03
1005       d       y  1.708025e-02
1006      dh       y  5.830100e-02
1007      er       y  3.525000e-02
1008      ey       y  2.235500e-02
1009       f       y  1.533980e-02
1010      h#       y  3.144449e-02
1011      ih       y  2.584900e-02
1012      iy       y  3.253718e-02
1013       k       y  3.190100e-02
1014       m       y  3.668420e-02
1015      ng       y  4.099967e-02
1016      ow       y  3.013000e-03
1017       r       y -5.573500e-03
1018       s       y  4.109700e-02
1019       t       y  1.685567e-02
1020      th       y  2.786250e-02
1021      uh       y -3.215000e-03
1022      ah       y  2.505200e-02
1023       n       y  2.182662e-02
1024       v       y  2.789050e-02
1025       y       y  1.263400e-02
1026      oy       y  1.700000e-02
1027      jh       y  4.778900e-02
1028      ae       z -1.886700e-02
1029      ao       z  4.081500e-03
1030      ax       z -2.114800e-03
1031      ay       z  2.316133e-02
1032       d       z -1.273675e-02
1033      er       z -2.357767e-02
1034      ey       z  8.000000e-03
1035       g       z -4.157533e-02
1036      ih       z -3.185575e-03
1037      iy       z -6.583333e-04
1038       k       z -1.374000e-02
1039       l       z -2.298914e-02
1040       m       z -3.993125e-03
1041      ng       z -7.949000e-03
1042      ow       z -8.639000e-03
1043       r       z  1.866667e-03
1044       s       z -1.206200e-02
1045       t       z -3.851867e-02
1046      uh       z  2.528945e-02
1047      uw       z -1.685900e-02
1048       w       z  2.070350e-02
1049      ah       z  1.165775e-02
1050       b       z  2.426667e-04
1051       n       z -2.092083e-02
1052       v       z  9.693500e-03
1053       z       z -4.014400e-02
1054       f      oy -1.004400e-02
1055       p      oy -1.254800e-02
1056       b      oy -6.683000e-03
1057      jh      oy -1.300000e-02
1058      ae      aw -5.553143e-03
1059      ay      aw  9.800000e-04
1060       d      aw -2.164286e-04
1061      eh      aw  1.116060e-01
1062      er      aw -2.000000e-03
1063      h#      aw  2.271795e-01
1064      hh      aw -6.388364e-03
1065       k      aw -2.988889e-04
1066       m      aw  7.313000e-03
1067      ow      aw -5.543100e-02
1068       p      aw  6.513300e-02
1069       r      aw  4.957000e-03
1070       s      aw  2.175900e-02
1071      sh      aw -9.086667e-03
1072       t      aw -9.758500e-03
1073      aa      aw  1.669755e-01
1074       b      aw  5.284286e-04
1075       n      aw -1.409350e-02
1076      aw      aw -2.734000e-03
1077      ae      jh -3.861000e-03
1078      ax      jh -8.352920e-02
1079      ay      jh -1.300000e-02
1080       d      jh  4.951000e-04
1081      eh      jh  1.931300e-02
1082      er      jh -1.200400e-02
1083      ey      jh -2.858333e-03
1084      h#      jh -1.031500e-03
1085      ih      jh  6.228000e-03
1086      iy      jh  1.958900e-02
1087       m      jh -1.463000e-03
1088      ow      jh -2.340100e-02
1089       r      jh -8.013000e-03
1090       s      jh  3.421500e-02
1091       t      jh  1.426000e-03
1092      uh      jh -6.260000e-04
1093      aa      jh  1.407600e-02
1094       n      jh  1.827000e-03
1095       v      jh  8.970000e-04
1096      ay      zh -3.300000e-02
1097      iy      zh -2.010000e-03
1098      uw      zh  8.429000e-03
