Word,nProns,pron
internship,2,eh n t er n sh ih p
by,1,b ay
on,6,aa
on,6,ow n
on,6,uh n
on,6,ao n
on,6,aa n
on,6,ax
about,16,ih b aw
about,16,uh p aw t
about,16,ah b ae aw t
about,16,ih b ae aw t
about,16,ax b ae t
about,16,b aw t
about,16,ax b aw t
about,16,b ah t
about,16,ax b aa t
about,16,ax m b aw t
about,16,b ah
about,16,ax b aw
about,16,ah b aw t
about,16,ax b ae aw t
about,16,b aa
about,16,ax b ah t
graft,1,g r ae f t
anything,3,eh n iy ng
anything,3,ih n iy th iy ng
anything,3,ih n iy th ih ng
oh,2,ow
oh,2,ao
of,20,
of,20,ax v
of,20,w ah v
of,20,z ax v
of,20,ih v
of,20,ah v
of,20,ax dh
of,20,ih f
of,20,ax f v
of,20,uh f
of,20,ih
of,20,ax f
of,20,ay v
of,20,er v
of,20,uh s
of,20,ax
of,20,n
of,20,uh v
of,20,ow v
of,20,ah b
magazine,1,m ae g uh z iy n
plus,1,p l ax s
stand,1,s t ae n
west,1,w eh s t
wanna,1,w ao n ax
or,10,ax r
or,10,ao
or,10,iy ow r
or,10,ih
or,10,ow ax r
or,10,uh
or,10,ax
or,10,ao r
or,10,ow r
or,10,er
exactly,1,ih g z ae eh k l ih
outlook,1,aw t l uh k
own,1,ow n
garbage,1,k g aa r b ih jh
civic,1,s ih v ih k
into,7,ih n t uw
into,7,ih n ah
into,7,ih n d uh
into,7,ih n t ax
into,7,ih n t ch uw
into,7,ih n ax
into,7,ih n t uh
getting,1,k ih d
down,5,d aw n
down,5,d t aw n
down,5,d aw m
down,5,d aw
down,5,t d aw n
because,10,k ah z
because,10,k uh z
because,10,b b iy k ah s
because,10,b iy k ah z
because,10,b ax k ah z
because,10,p iy k ah z
because,10,k ih
because,10,k ax z
because,10,p b ih k ax z
because,10,b iy k ih z
honduras,1,hh aa n d uh r ah s
your,2,y er
your,2,ch ax
murderers,1,m er d ax r er z
story,1,s t ow r iy
her,2,hh er
her,2,er
area,1,ax r iy
weekend,1,w iy k eh n
support,2,s ax p ow r
support,2,s ax p ow r t
there,12,eh
there,12,dh eh er
there,12,eh r
there,12,dh eh
there,12,dh ih r
there,12,d ih er
there,12,n eh r
there,12,dh eh r
there,12,dh ey er
there,12,dh ey r
there,12,dh ih er
there,12,er
question,1,k w eh s ch ih n
long,2,l aa ng
long,2,ao ng
why,2,w ah
why,2,w ay
fully,1,f ow l iy
start,2,t ao r
start,2,s t aa r t
we're,2,w er
we're,2,w ih r
way,2,w ey
way,2,w ey iy
bolivia,1,p b ow l ih v iy ah
was,15,w uh s
was,15,w ih z
was,15,uh z
was,15,ax ih ax l uh
was,15,w uh z
was,15,ax z
was,15,w ah z
was,15,ih
was,15,ah s
was,15,w
was,15,w ax s
was,15,uh s
was,15,z
was,15,ah z
was,15,w ax z
happy,1,hh ae p iy
lowest,1,l ow ax s
i've,5,ay v
i've,5,ah v
i've,5,aa v
i've,5,ax v
i've,5,ah
but,16,v ih
but,16,ah d
but,16,b p ah t
but,16,p b ah
but,16,p b uh t
but,16,b ah t
but,16,p b ih t
but,16,p b ih
but,16,b ih t
but,16,b ah
but,16,b uh t
but,16,b uh d
but,16,b uh
but,16,p b uh
but,16,b ax t
but,16,b ax
yeah,7,y ae
yeah,7,ae
yeah,7,y ih eh ah
yeah,7,iy y ah
yeah,7,y ae ah
yeah,7,ae ax
yeah,7,y ae ax
repeated,1,r iy p iy t ih d
courts,1,k ao r s
true,2,t r uw
true,2,ch r uw
junior,1,jh uw n y er
he,5,iy
he,5,ih
he,5,s
he,5,ey
he,5,hh iy
count,1,k aw n
they're,7,dh eh er
they're,7,dh er
they're,7,dh eh r
they're,7,dh eh r g
they're,7,dh ax r
they're,7,dh ih er
they're,7,er
made,2,m eh d
made,2,m ey d
campus,2,k ae m p ax s
campus,2,k ae m p uh s
official,1,ax f ih sh ax l
up,2,ax p
up,2,ah p
us,2,ax s
us,2,ih s
um,1,ah m
uh,8,aa
uh,8,ah b m
uh,8,ae
uh,8,ah
uh,8,ah m
uh,8,y ah
uh,8,hh
uh,8,ax
problem,4,p r aa p b l ax m
problem,4,p r aa b l ax m
problem,4,p r aa ih m
problem,4,p r aa ax m
minutes,1,m ih n ih t s
agree,6,ih g k r iy
agree,6,ax g r iy
agree,6,g r uh
agree,6,ng g r iy
agree,6,k g r iy
agree,6,ah g r iy
gone,2,g ao
gone,2,g ao n
juvenile,1,jh uw v ih n aa aw
adults,2,ax d ah l t s
adults,2,ax d ah l s
ah,2,aa
ah,2,ih
stealing,1,s t ih l ih n
an,3,ax n
an,3,ae n
an,3,n
as,8,ae s
as,8,ax s
as,8,ae z
as,8,ax z
as,8,uh z
as,8,ih z
as,8,z
as,8,ih s
sometime,3,s ah m t ay
sometime,3,s ah m t ay m
sometime,3,t s ax m t ay m
held,1,hh eh l d
at,7,ax t
at,7,eh
at,7,ae t
at,7,ih jh
at,7,eh t
at,7,ih
at,7,ih t
watched,1,w aa sh t
check,1,ch eh k
physical,1,f ih z k uh
again,1,ax g ih n
no,2,n ow
no,2,n
whereas,1,w ax r z
percent,4,p er s ih t
percent,4,p ax r s eh t
percent,4,w s eh n
percent,4,p er s eh n t
rally,1,r ae l iy
other,5,ah dh ax
other,5,ax dh ax r
other,5,ah dh er
other,5,ah dh ih
other,5,iy ah dh er
role,2,r
role,2,r ow
fledgling,1,f l eh jh l iy n
you,21,iy
you,21,n ax
you,21,uw er
you,21,ch ax
you,21,jh ax
you,21,jh iy uw
you,21,uw
you,21,ch ih
you,21,y n
you,21,zh ax
you,21,y uw
you,21,y uh
you,21,ih
you,21,iy y uw
you,21,y ih
you,21,uh
you,21,y
you,21,ax
you,21,zh ih
you,21,y ax
you,21,ow iy
out,6,aa t
out,6,ae
out,6,eh
out,6,aa d
out,6,aw
out,6,aw t
poor,2,p ao r
poor,2,p ao er
models,1,m aa d ax l s
rallies,1,r ae ax l iy s
problems,1,p r aa m z
stay,1,s t ey
helping,2,hh eh l p ih ng
helping,2,hh eh l p ih n
friends,2,f r ih n z
friends,2,f r eh n d s
ago,1,ih ow
ridden,1,r ih d ax n
scouting,1,s k aw t ih ng
longer,1,l ao ng g er
wife,1,w ay f
age,1,ey jh
walked,1,w ao k t
weights,1,w ey t s
fact,1,f ae k t
time,2,t ay
time,2,t ay m
far,1,f aa r
she's,1,sh iy s
overseas,3,ow v ax s iy z
overseas,3,ow v er s iy z
overseas,3,ow v ax r s iy z
having,2,hh ae v ih n
having,2,hh ae v ax d
once,1,w ah n s
